"DATE","TIME PERIOD","Estonian kroon/Euro (EXR.A.EEK.EUR.SP00.A)","Lithuanian litas/Euro (EXR.A.LTL.EUR.SP00.A)","Latvian lats/Euro (EXR.A.LVL.EUR.SP00.A)","Slovenian tolar/Euro (EXR.A.SIT.EUR.SP00.A)","Slovak koruna/Euro (EXR.A.SKK.EUR.SP00.A)"
"1999-12-31","1999","15.6466","4.26407","0.6256","194.4732","44.123"
"2000-12-31","2000","15.6466","3.69518","0.5592","206.6127","42.602"
"2001-12-31","2001","15.6466","3.58229","0.5601","217.9797","43.300"
"2002-12-31","2002","15.6466","3.45943","0.5810","225.9772","42.694"
"2003-12-31","2003","15.6466","3.45275","0.6407","233.8493","41.489"
"2004-12-31","2004","15.6466","3.45286","0.6652","239.0874","40.022"
"2005-12-31","2005","15.6466","3.45280","0.6962","239.5681","38.599"
"2006-12-31","2006","15.6466","3.45280","0.6962","239.5961","37.234"
"2007-12-31","2007","15.6466","3.45280","0.7001","","33.775"
"2008-12-31","2008","15.6466","3.45280","0.7027","","31.262"
"2009-12-31","2009","15.6466","3.45280","0.7057"
"2010-12-31","2010","15.6466","3.45280","0.7087"
"2011-12-31","2011","","3.45280","0.7063"
"2012-12-31","2012","","3.45280","0.6973"
"2013-12-31","2013","","3.45280","0.7015"
"2014-12-31","2014","","3.45280"
